Learning rate: 0.0001, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [9/10], Train Loss: 0.5957, Train Acc: 0.6557, Train F1: 0.6181, Val Loss: 0.5878, Val Acc: 0.7216, Val F1: 0.7063, Test Loss: 0.5800, Test Acc: 0.7398, Test F1: 0.7209
Epoch [10/10], Train Loss: 0.5904, Train Acc: 0.6619, Train F1: 0.6332, Val Loss: 0.5516, Val Acc: 0.7280, Val F1: 0.7119, Test Loss: 0.5424, Test Acc: 0.7507, Test F1: 0.7294


Learning rate: 0.0005, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.5618, Train Acc: 0.7097, Train F1: 0.7150, Val Loss: 0.4892, Val Acc: 0.7643, Val F1: 0.7826, Test Loss: 0.4610, Test Acc: 0.7832, Test F1: 0.7906
Epoch [2/10], Train Loss: 0.4629, Train Acc: 0.7807, Train F1: 0.7828, Val Loss: 0.4566, Val Acc: 0.7815, Val F1: 0.7777, Test Loss: 0.4228, Test Acc: 0.7940, Test F1: 0.7816
Epoch [3/10], Train Loss: 0.4284, Train Acc: 0.8010, Train F1: 0.8019, Val Loss: 0.4403, Val Acc: 0.7913, Val F1: 0.7911, Test Loss: 0.4066, Test Acc: 0.8022, Test F1: 0.7944
Epoch [4/10], Train Loss: 0.3965, Train Acc: 0.8229, Train F1: 0.8228, Val Loss: 0.4331, Val Acc: 0.7968, Val F1: 0.7904, Test Loss: 0.3990, Test Acc: 0.8130, Test F1: 0.7988
Epoch [5/10], Train Loss: 0.3672, Train Acc: 0.8395, Train F1: 0.8398, Val Loss: 0.4216, Val Acc: 0.8069, Val F1: 0.8076, Test Loss: 0.3793, Test Acc: 0.8320, Test F1: 0.8297
Epoch [6/10], Train Loss: 0.3300, Train Acc: 0.8595, Train F1: 0.8594, Val Loss: 0.4206, Val Acc: 0.8044, Val F1: 0.8070, Test Loss: 0.3960, Test Acc: 0.8347, Test F1: 0.8338
Epoch [7/10], Train Loss: 0.3248, Train Acc: 0.8650, Train F1: 0.8648, Val Loss: 0.4195, Val Acc: 0.8069, Val F1: 0.8085, Test Loss: 0.3680, Test Acc: 0.8320, Test F1: 0.8306
Epoch [8/10], Train Loss: 0.3207, Train Acc: 0.8679, Train F1: 0.8681, Val Loss: 0.4198, Val Acc: 0.8083, Val F1: 0.8101, Test Loss: 0.3828, Test Acc: 0.8347, Test F1: 0.8338
Epoch [9/10], Train Loss: 0.3157, Train Acc: 0.8697, Train F1: 0.8695, Val Loss: 0.4184, Val Acc: 0.8080, Val F1: 0.8083, Test Loss: 0.3616, Test Acc: 0.8320, Test F1: 0.8297
Epoch [10/10], Train Loss: 0.3130, Train Acc: 0.8721, Train F1: 0.8722, Val Loss: 0.4184, Val Acc: 0.8099, Val F1: 0.8083, Test Loss: 0.3637, Test Acc: 0.8184, Test F1: 0.8102


Learning rate: 0.001, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.5283, Train Acc: 0.7334, Train F1: 0.7352, Val Loss: 0.4592, Val Acc: 0.7854, Val F1: 0.7911, Test Loss: 0.4424, Test Acc: 0.7940, Test F1: 0.7912
Epoch [2/10], Train Loss: 0.4385, Train Acc: 0.7960, Train F1: 0.7969, Val Loss: 0.4351, Val Acc: 0.7987, Val F1: 0.8021, Test Loss: 0.4088, Test Acc: 0.8049, Test F1: 0.8022
Epoch [3/10], Train Loss: 0.3961, Train Acc: 0.8190, Train F1: 0.8194, Val Loss: 0.4195, Val Acc: 0.8037, Val F1: 0.7993, Test Loss: 0.4009, Test Acc: 0.8103, Test F1: 0.7989
Epoch [4/10], Train Loss: 0.3502, Train Acc: 0.8465, Train F1: 0.8462, Val Loss: 0.4201, Val Acc: 0.8115, Val F1: 0.7985, Test Loss: 0.3957, Test Acc: 0.8076, Test F1: 0.7906
Epoch [5/10], Train Loss: 0.3135, Train Acc: 0.8694, Train F1: 0.8694, Val Loss: 0.4074, Val Acc: 0.8174, Val F1: 0.8103, Test Loss: 0.3741, Test Acc: 0.7995, Test F1: 0.7874
Epoch [6/10], Train Loss: 0.2569, Train Acc: 0.8991, Train F1: 0.8990, Val Loss: 0.4044, Val Acc: 0.8179, Val F1: 0.8180, Test Loss: 0.3812, Test Acc: 0.8103, Test F1: 0.8056
Epoch [7/10], Train Loss: 0.2456, Train Acc: 0.9072, Train F1: 0.9069, Val Loss: 0.4055, Val Acc: 0.8199, Val F1: 0.8220, Test Loss: 0.3800, Test Acc: 0.8211, Test F1: 0.8187
Epoch [8/10], Train Loss: 0.2356, Train Acc: 0.9107, Train F1: 0.9106, Val Loss: 0.4071, Val Acc: 0.8197, Val F1: 0.8168, Test Loss: 0.4165, Test Acc: 0.8076, Test F1: 0.7977
Epoch [9/10], Train Loss: 0.2295, Train Acc: 0.9145, Train F1: 0.9143, Val Loss: 0.4063, Val Acc: 0.8192, Val F1: 0.8189, Test Loss: 0.3888, Test Acc: 0.8266, Test F1: 0.8212
Epoch [10/10], Train Loss: 0.2196, Train Acc: 0.9208, Train F1: 0.9206, Val Loss: 0.4084, Val Acc: 0.8184, Val F1: 0.8206, Test Loss: 0.3750, Test Acc: 0.8293, Test F1: 0.8274


Learning rate: 0.002, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.5106, Train Acc: 0.7457, Train F1: 0.7481, Val Loss: 0.4529, Val Acc: 0.7859, Val F1: 0.7995, Test Loss: 0.4119, Test Acc: 0.8076, Test F1: 0.8146
Epoch [2/10], Train Loss: 0.4274, Train Acc: 0.8030, Train F1: 0.8031, Val Loss: 0.4238, Val Acc: 0.8083, Val F1: 0.8153, Test Loss: 0.3858, Test Acc: 0.8293, Test F1: 0.8320
Epoch [3/10], Train Loss: 0.3769, Train Acc: 0.8322, Train F1: 0.8321, Val Loss: 0.4057, Val Acc: 0.8147, Val F1: 0.8113, Test Loss: 0.3771, Test Acc: 0.8347, Test F1: 0.8291
Epoch [4/10], Train Loss: 0.3340, Train Acc: 0.8558, Train F1: 0.8559, Val Loss: 0.4026, Val Acc: 0.8192, Val F1: 0.8151, Test Loss: 0.3795, Test Acc: 0.8130, Test F1: 0.8056
Epoch [5/10], Train Loss: 0.2969, Train Acc: 0.8737, Train F1: 0.8740, Val Loss: 0.4391, Val Acc: 0.8055, Val F1: 0.7863, Test Loss: 0.4412, Test Acc: 0.8022, Test F1: 0.7754
Epoch [6/10], Train Loss: 0.2191, Train Acc: 0.9182, Train F1: 0.9182, Val Loss: 0.4166, Val Acc: 0.8215, Val F1: 0.8155, Test Loss: 0.3832, Test Acc: 0.8238, Test F1: 0.8138
Epoch [7/10], Train Loss: 0.2030, Train Acc: 0.9236, Train F1: 0.9236, Val Loss: 0.4133, Val Acc: 0.8232, Val F1: 0.8239, Test Loss: 0.3718, Test Acc: 0.8238, Test F1: 0.8229
Epoch [8/10], Train Loss: 0.1863, Train Acc: 0.9328, Train F1: 0.9327, Val Loss: 0.4188, Val Acc: 0.8225, Val F1: 0.8243, Test Loss: 0.3841, Test Acc: 0.8374, Test F1: 0.8378
Epoch [9/10], Train Loss: 0.1745, Train Acc: 0.9370, Train F1: 0.9369, Val Loss: 0.4228, Val Acc: 0.8239, Val F1: 0.8233, Test Loss: 0.3601, Test Acc: 0.8211, Test F1: 0.8167
Epoch [10/10], Train Loss: 0.1657, Train Acc: 0.9391, Train F1: 0.9393, Val Loss: 0.4276, Val Acc: 0.8238, Val F1: 0.8224, Test Loss: 0.3708, Test Acc: 0.8238, Test F1: 0.8189


Learning rate: 0.005, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.5214, Train Acc: 0.7399, Train F1: 0.7406, Val Loss: 0.4510, Val Acc: 0.7900, Val F1: 0.7971, Test Loss: 0.4118, Test Acc: 0.8293, Test F1: 0.8311
Epoch [2/10], Train Loss: 0.4407, Train Acc: 0.7962, Train F1: 0.7966, Val Loss: 0.4387, Val Acc: 0.8003, Val F1: 0.8110, Test Loss: 0.4044, Test Acc: 0.8266, Test F1: 0.8307
Epoch [3/10], Train Loss: 0.4086, Train Acc: 0.8121, Train F1: 0.8124, Val Loss: 0.4263, Val Acc: 0.8007, Val F1: 0.8056, Test Loss: 0.3774, Test Acc: 0.8347, Test F1: 0.8329
Epoch [4/10], Train Loss: 0.3773, Train Acc: 0.8311, Train F1: 0.8313, Val Loss: 0.4175, Val Acc: 0.8083, Val F1: 0.8100, Test Loss: 0.3959, Test Acc: 0.8266, Test F1: 0.8251
Epoch [5/10], Train Loss: 0.3497, Train Acc: 0.8482, Train F1: 0.8479, Val Loss: 0.4267, Val Acc: 0.8081, Val F1: 0.8010, Test Loss: 0.4228, Test Acc: 0.8130, Test F1: 0.8034
Epoch [6/10], Train Loss: 0.2830, Train Acc: 0.8812, Train F1: 0.8809, Val Loss: 0.4311, Val Acc: 0.8119, Val F1: 0.8070, Test Loss: 0.4075, Test Acc: 0.8347, Test F1: 0.8291
Epoch [7/10], Train Loss: 0.2626, Train Acc: 0.8922, Train F1: 0.8918, Val Loss: 0.4343, Val Acc: 0.8149, Val F1: 0.8141, Test Loss: 0.4241, Test Acc: 0.8320, Test F1: 0.8278
Epoch [8/10], Train Loss: 0.2491, Train Acc: 0.8971, Train F1: 0.8972, Val Loss: 0.4364, Val Acc: 0.8158, Val F1: 0.8157, Test Loss: 0.4364, Test Acc: 0.8347, Test F1: 0.8320
Epoch [9/10], Train Loss: 0.2422, Train Acc: 0.8996, Train F1: 0.8995, Val Loss: 0.4403, Val Acc: 0.8151, Val F1: 0.8173, Test Loss: 0.4186, Test Acc: 0.8293, Test F1: 0.8293
Epoch [10/10], Train Loss: 0.2308, Train Acc: 0.9043, Train F1: 0.9041, Val Loss: 0.4465, Val Acc: 0.8128, Val F1: 0.8069, Test Loss: 0.4309, Test Acc: 0.8211, Test F1: 0.8125
